,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Zack Moss,BUF,7,27,3,4,0.6,23,3.3,2,3.5
1,Devin Singletary,BUF,7,43,3,23,3.3,20,2.9,1,7.0
2,Matt Breida,BUF,3,28,1,25,8.3,3,1.0,0,
3,Josh Allen,BUF,2,3,0,1,0.5,2,1.0,0,
4,Isaiah McKenzie,BUF,2,17,2,14,7.0,3,1.5,0,
5,Davis Webb,BUF,2,-3,,-3,-1.5,0,0.0,0,
6,Emmanuel Sanders,BUF,1,24,1,24,24.0,0,0.0,0,
8,Michael Carter,NYJ,16,39,2,21,1.3,18,1.1,1,16.0
9,Tevin Coleman,NYJ,4,29,2,17,4.3,12,3.0,0,
10,Ty Johnson,NYJ,2,2,0,1,0.5,1,0.5,0,
