,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Roquan Smith,CHI,0,0,0,0,0,1.0,12,6,6,2,1,0,0,0,0
1,Cassius Marsh,CHI,0,0,0,0,0,1.0,5,3,2,0,1,0,0,0,0
2,Robert Quinn,CHI,0,0,0,0,0,1.0,4,4,0,1,1,0,0,0,0
3,Bilal Nichols,CHI,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
4,Duke Shelley,CHI,0,0,0,0,1,0.0,7,7,0,0,0,0,0,0,0
5,Danny Trevathan,CHI,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
6,DeAndre Houston-Carson,CHI,0,0,0,0,0,0.0,6,2,4,0,0,1,25,1,0
7,Jaylon Johnson,CHI,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
8,Tashaun Gipson,CHI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
9,Eddie Goldman,CHI,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
10,Trevis Gipson,CHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
11,Akiem Hicks,CHI,0,0,0,0,0,0.0,3,3,0,0,1,0,0,0,0
12,Christian Jones,CHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
13,Angelo Blackson,CHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Sam Kamara,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
15,Teez Tabor,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
16,Kindle Vildor,CHI,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
17,Marqui Christian,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Joel Iyiegbuniwe,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
19,Sam Mustipher,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Ryan Nall,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Khyiris Tonga,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
24,Cameron Heyward,PIT,1,0,0,0,1,0.0,2,2,0,0,3,0,0,0,0
25,T.J. Watt,PIT,0,0,0,0,1,3.0,7,4,3,3,3,0,0,0,0
26,Minkah Fitzpatrick,PIT,0,0,0,0,0,0.0,8,8,0,0,0,0,0,0,0
27,Joe Schobert,PIT,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
28,Terrell Edmunds,PIT,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
29,Arthur Maulet,PIT,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
30,Devin Bush Jr.,PIT,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
31,Taco Charlton,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
32,Alex Highsmith,PIT,0,0,0,0,0,0.0,3,0,3,0,2,0,0,0,0
33,Cameron Sutton,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
34,Isaiah Buggs,PIT,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
35,Justin Layne,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
36,Henry Mondeaux,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,James Pierre,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1
38,Cody White,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
39,Ulysees Gilbert,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Joe Haden,PIT,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
41,Tre Norwood,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Derek Watt,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Chris Wormley,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Chris Boswell,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
